WELL,LAT,LON,CLASS,AREA,OPERATOR,RIG_NAME,TD,KB,WD,DEPTH_UNIT,SPUD_DATE,RIG_RELEAS,STATUS
26/28-5,53.0335553,-12.5524467,Appraisal,Porcupine Basin,BP,Ali Baba,2810,25,376,m,24/04/1984,04/06/1984,P & A with/without shows or untested pay
64/1-1,49.8738686,-9.9312358,Exploration,Fastnet Basin,Cities Services,Glomar Artic II,2398.66,26.2,124.06,m,16/07/1984,25/08/1984,P & A with/without shows or untested pay
49/10-1,51.68485,-7.1765389,Exploration,North Celtic Sea Basin,Gulf,Glomar Artic II,6750,84,247,ft,27/08/1984,09/11/1984,P & A with/without shows or untested pay
49/19-1,51.3813575,-7.3639467,Exploration,North Celtic Sea Basin,Marathon,Sedco 704,11820,95,284,ft,09/09/1984,15/01/1985,P & A with/without shows or untested pay
57/9-1,50.8278781,-8.381835,Exploration,North Celtic Sea Basin,Conoco,Western Pacesetter II,8224,84,296,ft,16/09/1984,10/11/1984,P & A Oil & Gas Well
47/29-1,51.06075,-9.2583333,Exploration,North Celtic Sea Basin,Arco,Santa Fe 135,10115,85,389,ft,24/03/1985,01/06/1985,P & A with/without shows or untested pay
35/19-1,52.4378611,-12.2795556,Exploration,Porcupine Basin,Britoil,High Seas Driller,18210,85,1571,ft,08/04/1985,12/09/1985,P & A with/without shows or untested pay
49/14-3,51.63275,-7.3256083,Exploration,North Celtic Sea Basin,Esso,Sedco 704,11715,85,254,ft,30/04/1985,18/08/1985,P & A with/without shows or untested pay
48/18-1,51.4250472,-8.4226778,Exploration,North Celtic Sea Basin,BP,Ali Baba,1370,25,90,m,09/05/1985,26/06/1985,P & A Oil & Gas Well
49/15-1,51.6587389,-7.059775,Exploration,North Celtic Sea Basin,Esso,Sedco 704,7000,85,249,ft,19/08/1985,19/09/1985,P & A with/without shows or untested pay
50/6-1,51.7572369,-6.8503711,Exploration,North Celtic Sea Basin,Gulf,Glomar Arctic I,7750,85,240,ft,19/10/1985,03/02/1986,P & A Oil Well
42/12-1,52.6142086,-5.7935214,Exploration,Central Irish Sea Basin,HIL,Western Apollo I,9265,108,206,ft,08/03/1986,16/05/1986,P & A with/without shows or untested pay
49/13-2,51.6629889,-7.4406194,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,5274,84,263,ft,28/04/1986,12/06/1986,P & A with/without shows or untested pay
33/17-1,53.3689014,-5.6074267,Exploration,Kish Bank Basin,Charterhouse,Western Apollo I,6660,110,236,ft,18/05/1986,20/06/1986,P & A with/without shows or untested pay
50/3-2,51.8892511,-6.5291553,Exploration,North Celtic Sea Basin,Enterprise Oil,Western Pacesetter IV,6520,86,229,ft,14/06/1986,29/07/1986,P & A with/without shows or untested pay
