OBJECTID,REF_NO_,WELL_NO_,SPUD_LATID,SPUD_LONGI,DDLATITUDE,DDLONGITUD,WELL_CLASS,AREA,OPERATOR,RIG_NAME,TD__MD_,RIG_DATUM,WATER_DEPT,UNIT,SPUD_DATE,RIG_RELEAS,WELL_STATU
95,95,50/7-1,"51° 45' 40.606""N","06° 44' 50.724""W",51.7612794,-6.7474233,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,5835,86,236,ft,19/09/1986,16/10/1986,P & A with/without shows or untested pay
96,96,57/2-2,"50° 54' 50.667""N","08° 45' 34.669""W",50.9140742,-8.7596303,Exploration,North Celtic Sea Basin,Total,Ali Baba,3009,25.5,107,m,05/04/1987,07/06/1987,P & A with/without shows or untested pay
97,97,49/9-4,"51° 40' 16.720""N","07° 23' 3.580""W",51.6713111,-7.3843278,Exploration,North Celtic Sea Basin,BP,Sedco 700,2086,25.91,74.5,m,10/04/1987,01/06/1987,P & A Oil Well
98,98,50/6-2,"51° 48' 17.900""N","06° 49' 22.100""W",51.8049722,-6.8228056,Exploration,North Celtic Sea Basin,BP,Sedco 700,1100,25.91,73,m,02/06/1987,18/06/1987,P & A with/without shows or untested pay
99,99,43/13-1,"51° 30' 18.04""N","13° 24' 09.03""W",51.5050111,-13.4025083,Exploration,Porcupine Basin,BP,Pacnorse 1,5128,12,921,m,07/04/1988,11/09/1988,P & A with/without shows or untested pay
100,100,42/16-1,"52° 25' 25.510""N","05° 50' 45.450""W",52.4237528,-5.8459583,Exploration,Central Irish Sea Basin,Conoco,Alladin,4754,82,259,ft,20/05/1988,03/07/1988,P & A with/without shows or untested pay
101,101,35/18-1,"52°29' 6.509""N","12°31'53.129""W",52.4851414,-12.5314247,Exploration,Porcupine Basin,Amoco,Henry Goodrich,3901,22,566,m,07/06/1988,31/07/1988,P & A with/without shows or untested pay
102,102,48/20-2,"51°27' 7.072""N","08° 7' 28.766""W",51.4519644,-8.1246572,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,3595,85,285,ft,01/03/1989,06/04/1989,Gas Producer
103,103,49/9-5,"51° 41' 27.76""N","07° 17' 32.79""W",51.6910444,-7.2924417,Exploration,North Celtic Sea Basin,BP,Sedco 700,1820,25.9,75.8,m,01/03/1989,17/04/1989,P & A with/without shows or untested pay
104,104,48/20-3,"51° 29 '15.333""N","08° 04' 39.632""W",51.4875925,-8.0776756,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter,2950,85,282,ft,08/04/1989,10/05/1989,P & A with/without shows or untested pay
105,105,48/20-4,"51° 27' 50.357""N","08° 05' 17.712""W",51.4639881,-8.0882533,Appraisal,North Celtic Sea Basin,Marathon,Western Pacesetter,3100,85,279,ft,11/05/1989,31/05/1989,P & A with/without shows or untested pay
106,106,48/20-5,"51° 28' 36.642""N","08° 03' 53.829""W",51.476845,-8.0649525,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,3100,85,281,ft,01/06/1989,19/06/1989,P & A with/without shows or untested pay
107,107,48/24-3,"51°12' 2.962""N","08°17'15.262""W",51.2008228,-8.2875728,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,8475,85,331,ft,16/01/1990,30/04/1990,P & A Oil & Gas Well
108,108,48/24-4,"51° 19' 52.913""N",08° 17' 46.916W,51.3313647,-8.2963656,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,8110,85,310,ft,01/05/1990,19/06/1990,P & A with/without shows or untested pay
109,109,50/13-1,"51°34'48.864""N","06°27'14.109""W",51.58024,-6.4539192,Exploration,North Celtic Sea Basin,Conoco,Western Pacetter,5900,85,256,ft,22/06/1990,20/07/1990,P & A with/without shows or untested pay
110,110,42/12-2,"52° 39' 27.815"" N","05°37' 01.379""W",52.6577264,-5.6170497,Exploration,Central Irish Sea Basin,HIL,Glomar Main Pass 1,3800,98,238,ft,14/07/1990,31/07/1990,P & A with/without shows or untested pay
